50
100
L,682,-1803,476,76,-59,-83,-652,-200,R,-744,-2362,971,822,-367,946,-626,162
L,708,-1905,490,-26,129,109,-656,-198,R,-1037,-2527,1170,1521,201,1727,-582,204
L,688,-1988,510,-103,163,206,-666,-185,R,-1465,-2402,1468,2269,710,2520,-491,274
L,695,-1975,540,-186,186,191,-659,-187,R,-2153,-2154,1627,2955,495,3231,-386,385
L,691,-1947,601,-281,289,176,-648,-187,R,-2502,-1858,1412,3592,-851,4161,-328,469
L,681,-1985,658,-323,404,246,-644,-180,R,-1958,-1007,1096,4043,-1192,5074,-241,527
L,675,-2022,624,-360,610,308,-655,-176,R,-1343,-207,986,4136,-1273,5377,-70,531
L,616,-1998,531,-439,906,276,-678,-165,R,-657,236,694,3932,-2147,4907,139,418
L,515,-1978,495,-462,1147,238,-701,-141,R,-255,536,473,3423,-2378,3875,449,196
L,439,-1978,458,-385,1262,251,-722,-122,R,-72,672,382,2591,-2030,2822,598,53
L,368,-1946,371,-335,1296,226,-749,-105,R,248,928,239,1636,-1302,1974,696,-145
L,232,-1939,316,-280,1177,130,-785,-67,R,497,1235,173,803,-781,1214,669,-217
L,108,-1957,284,-125,738,61,-811,-31,R,594,1549,139,254,-483,590,684,-209
L,94,-1936,280,-13,244,43,-812,-27,R,541,1809,236,63,-184,198,719,-165
L,138,-1945,364,-13,53,58,-786,-40,R,500,1952,343,130,-49,18,727,-141
L,163,-1983,446,-3,21,72,-765,-45,R,535,2049,293,207,98,-14,734,-144
L,217,-1992,443,46,38,38,-760,-60,R,534,2059,268,175,162,13,738,-144
L,226,-1986,406,89,56,-24,-768,-63,R,531,1969,299,102,171,33,727,-149
L,159,-1987,406,137,-58,-75,-776,-45,R,637,1815,286,21,414,-50,689,-191
L,94,-2039,446,217,-267,-107,-773,-25,R,728,1506,205,-168,1073,-426,633,-255
L,73,-2041,470,312,-483,-168,-768,-20,R,607,1199,47,-715,1707,-1127,630,-268
L,145,-1981,473,400,-677,-251,-759,-40,R,251,1158,6,-1627,2128,-1931,777,-122
L,284,-1978,458,431,-732,-341,-747,-79,R,-132,1257,251,-2467,1946,-2634,772,58
L,397,-1976,468,363,-700,-425,-727,-110,R,-517,977,524,-2989,1586,-3206,529,250
L,470,-1959,577,270,-646,-390,-691,-129,R,-756,448,557,-3357,1786,-3761,255,465
L,512,-1963,676,313,-627,-305,-666,-138,R,-906,-10,586,-3693,1676,-4356,-5,571
L,529,-1907,599,431,-760,-300,-672,-148,R,-1364,-629,753,-3860,1200,-4784,-219,542
L,585,-1822,480,458,-995,-237,-674,-172,R,-1608,-1331,980,-4072,241,-4648,-352,442
L,693,-1765,442,356,-1211,-37,-650,-208,R,-1969,-2297,1387,-3857,-52,-4032,-436,362
L,759,-1787,568,192,-1344,171,-620,-220,R,-1991,-2758,1483,-2949,272,-3354,-480,324
L,811,-1934,933,268,-1407,245,-573,-206,R,-1354,-2700,1325,-2144,-172,-2771,-549,242
L,905,-2021,1321,786,-1208,136,-516,-205,R,-852,-2762,1292,-1501,-596,-2046,-607,156
L,1083,-2199,1789,1704,-965,-241,-464,-209,R,-174,-2578,1092,-853,241,-1031,-667,35
L,1460,-2419,2212,2949,-307,-947,-423,-240,R,-269,-2284,880,-379,927,-233,-680,62
L,1574,-2372,2368,4212,355,-1670,-398,-251,R,-671,-2137,610,-182,-337,126,-669,168
L,1540,-2028,2177,5014,642,-2152,-372,-273,R,-414,-2117,327,-148,-1297,165,-759,109
L,1645,-1605,1746,5225,875,-2640,-337,-347,R,-305,-2108,250,-185,-1039,15,-793,81
L,1636,-1051,1434,4958,879,-3338,-257,-426,R,-365,-2079,216,-199,-773,-134,-784,99
L,1200,-267,1012,4434,777,-3855,-96,-488,R,-322,-1981,193,-149,-727,-257,-792,92
L,523,363,589,3738,869,-3814,247,-370,R,-264,-1944,223,-84,-711,-320,-798,76
L,46,747,424,2999,1019,-3261,602,-30,R,-213,-1996,248,-36,-715,-297,-806,60
L,-328,1014,368,2326,850,-2476,640,169,R,-112,-2066,229,13,-693,-207,-829,30
L,-547,1234,306,1623,617,-1699,630,232,R,-7,-2084,184,63,-583,-104,-849,2
L,-608,1382,243,926,433,-1028,646,234,R,64,-2024,163,74,-426,-45,-850,-18
L,-655,1529,296,363,202,-575,648,228,R,73,-1966,175,72,-271,-65,-844,-21
L,-746,1706,436,72,92,-247,631,229,R,32,-1962,197,71,-234,-119,-841,-9
L,-751,1845,580,0,51,-13,627,212,R,20,-1999,209,82,-98,-147,-839,-5
L,-679,1925,634,12,-18,59,642,185,R,7,-2009,225,77,115,-100,-835,-2
L,-603,1952,591,35,-4,-7,666,164,R,34,-2003,278,53,182,-10,-820,-9
L,-600,1949,521,18,-5,-98,678,165,R,49,-1993,351,54,209,25,-799,-13
L,-722,1862,485,17,-4,-43,649,205,R,14,-1964,377,85,211,37,-791,-4
L,-894,1566,373,-135,-486,235,582,290,R,-9,-1934,333,156,347,87,-802,2
L,-926,1132,140,-836,-1469,977,503,390,R,-53,-1905,275,236,603,174,-816,15
L,-657,852,-135,-2105,-2122,2156,517,373,R,-106,-1953,250,260,868,269,-820,31
L,-169,700,-79,-3486,-2555,3265,750,135,R,-171,-2090,320,184,897,337,-801,46
L,527,507,341,-4189,-3075,4207,389,-407,R,-114,-2120,440,77,639,372,-778,30
