20
100
L,434,-1940,627,8,26,-64,-685,-120,R,-456,-1942,514,-15,49,11,-704,127
L,429,-1935,625,-6,93,-66,-685,-119,R,-465,-1942,537,5,158,8,-698,130
L,411,-1933,636,-22,161,-47,-685,-114,R,-501,-1975,688,85,154,93,-666,134
L,400,-1951,653,-34,187,-9,-685,-110,R,-681,-2201,1101,465,277,553,-595,154
L,397,-2016,670,-31,188,29,-688,-105,R,-1356,-2813,1772,1466,743,1877,-515,221
L,377,-2088,660,-31,163,24,-699,-97,R,-2825,-3579,2652,3074,946,4156,-427,323
L,395,-2155,635,-85,240,-34,-708,-99,R,-3986,-3267,3117,4773,61,6248,-328,414
L,451,-2135,616,-211,649,-86,-703,-114,R,-3462,-2453,2057,6049,-2271,7389,-313,472
L,402,-2016,658,-359,1241,-27,-690,-107,R,-1215,-2262,221,6605,-3942,7215,-613,281
L,297,-1964,740,-406,1473,154,-678,-80,R,-31,-2022,-434,6222,-3525,5803,-778,8
L,277,-1880,704,-277,1376,296,-680,-78,R,491,-1178,-1268,4259,-2874,3720,-409,-158
L,146,-1674,545,-19,1067,286,-713,-47,R,1222,-379,-2006,908,-1018,1358,-91,-308
L,-49,-1550,369,239,98,237,-764,17,R,480,-437,-1578,-2017,2541,-974,-148,-163
L,-30,-1601,251,348,-1209,233,-810,10,R,-341,-829,-1221,-3961,3930,-3400,-331,130
L,109,-1794,337,366,-1890,142,-788,-34,R,-434,-1092,-692,-5166,3476,-5600,-531,185
L,73,-1958,638,492,-1845,-22,-718,-20,R,-1297,-1297,575,-5401,2975,-7113,-424,424
L,186,-2266,1232,760,-1798,-221,-611,-41,R,-2426,-1723,1753,-5347,1819,-7504,-299,446
L,623,-2890,2081,1585,-1499,-725,-530,-99,R,-3128,-3271,2259,-4951,584,-6430,-402,381
L,1168,-3410,2955,3300,-895,-1860,-470,-145,R,-2880,-4375,2363,-3744,-438,-4674,-495,300
L,1629,-3419,3468,5379,-674,-3391,-417,-184,R,-1411,-3709,2015,-1811,2184,-2867,-564,184
L,1886,-2580,2759,6830,-624,-4828,-376,-265,R,-1651,-2550,1777,-253,3404,-1183,-464,279
L,2150,-1533,1339,7083,677,-5941,-311,-465,R,-2162,-1948,1326,-95,-1295,-76,-375,425
L,1457,-1068,317,6714,2550,-6062,-356,-525,R,-1164,-1957,527,-243,-4757,348,-568,298
L,443,-855,-408,5844,2698,-5169,-548,-250,R,-131,-1840,41,2,-4148,284,-857,40
L,-407,-423,-993,4132,2184,-3677,-215,206,R,131,-1675,33,221,-1712,118,-853,-44
L,-1369,-19,-1206,1651,479,-1527,-6,486,R,24,-1553,121,249,-261,64,-854,-8
L,-792,-197,-1373,-1251,-821,1021,-71,297,R,-22,-1527,180,218,431,184,-831,8
L,-79,-719,-1868,-4496,-2107,3215,-210,22,R,-239,-1609,376,114,625,348,-745,82
L,275,-1353,-1674,-7360,-3204,5009,-385,-72,R,-366,-1848,563,-7,221,388,-700,107
L,1429,-1661,418,-8554,-2456,5938,-481,-398,R,-319,-2142,827,30,211,327,-675,79
L,2700,-2299,2640,-7892,-801,5053,-313,-376,R,-529,-2233,1447,383,596,529,-553,112
L,1949,-3271,3159,-6677,534,3393,-413,-232,R,-1160,-2689,2449,1292,-45,1348,-447,176
L,912,-3809,2858,-5315,-509,2717,-517,-108,R,-1727,-3783,3400,3278,-759,2801,-447,187
L,984,-3919,2426,-3296,-764,2298,-562,-120,R,-2865,-3879,4112,6111,-392,4643,-377,268
L,357,-3125,1936,-1510,-1074,1209,-577,-55,R,-2984,-2880,2894,8101,-1800,5917,-347,361
L,121,-2328,1437,-658,-1503,308,-582,-25,R,-1497,-2404,464,8131,-3229,6123,-568,314
L,503,-2001,931,-339,84,-53,-621,-128,R,-784,-2322,-1273,6654,-3767,5028,-572,165
L,609,-1761,453,-142,1516,79,-666,-185,R,354,-1350,-2411,3982,-3181,2889,-289,-73
